"scelta","ID.cliente","settimana","prezzoCH","prezzoMM","scontoCH","scontoMM","fedeleMM","negozio"
"CH",2129882,255,1.89,2.18,0.13,0,0.155239,"2"
"CH",2129882,257,1.99,2.29,0,0.4,0.124192,"3"
"CH",2129882,257,1.86,2.18,0,0,0.099353,"2"
"CH",2129882,258,1.86,2.18,0,0,0.079483,"2"
"CH",2129882,259,1.99,2.29,0,0,0.063586,"3"
"CH",2129882,259,1.86,2.18,0,0.4,0.050869,"2"
"CH",2129882,260,1.86,2.18,0,0.7,0.040695,"2"
"CH",2129882,261,1.76,1.99,0,0,0.032556,"1"
"CH",2129882,261,1.86,2.18,0,0,0.026045,"2"
"CH",2129882,263,1.86,2.18,0,0,0.020836,"2"
"MM",2129882,264,1.86,2.18,0,0,0.016669,"2"
"CH",2129882,265,1.86,2.18,0,0,0.213335,"2"
"CH",2129882,266,1.86,1.99,0,0.1,0.170668,"1"
"CH",2129882,266,1.86,2.18,0,0,0.136534,"2"
"CH",2129882,267,1.86,2.18,0,0.4,0.109228,"2"
"CH",2129882,270,1.86,2.18,0,0,0.087382,"2"
"CH",2129882,270,1.86,2.18,0,0,0.069906,"1"
"CH",2129882,271,1.86,2.18,0,0.06,0.055924,"2"
"CH",2129882,272,1.86,2.18,0,0.06,0.04474,"2"
"CH",2129882,273,1.86,2.13,0,0.54,0.035792,"0"
"CH",2129882,273,1.86,2.18,0,0,0.028633,"1"
"CH",2129882,274,1.96,2.18,0,0.8,0.022907,"2"
"CH",2129882,275,1.96,2.18,0,0.8,0.018325,"2"
"CH",2129882,276,1.99,2.13,0,0.54,0.01466,"0"
"CH",2129882,278,1.99,2.18,0,0,0.011728,"2"
"CH",2129908,242,1.99,2.23,0,0,0.4,"3"
"CH",2130039,237,1.75,1.99,0,0,0.48,"1"
"CH",2130153,251,1.99,2.23,0,0,0.5,"4"
"MM",2130153,255,1.99,2.29,0,0,0.4,"4"
"MM",2130153,261,1.86,2.13,0,0.24,0.52,"0"
"CH",2130153,277,2.09,2.09,0.2,0.4,0.616,"4"
"MM",2130856,233,1.75,1.99,0,0.4,0.5,"0"
"MM",2130856,236,1.75,1.99,0,0.4,0.6,"0"
"MM",2130856,243,1.86,2.09,0,0.2,0.68,"0"
"MM",2130856,244,1.86,2.09,0,0.2,0.744,"0"
"MM",2130856,245,1.86,2.09,0,0.2,0.7952,"0"
"MM",2130856,252,1.86,2.09,0.1,0,0.83616,"0"
"MM",2130856,277,1.99,2.13,0.5,0,0.868928,"0"
"CH",2131060,228,1.79,1.79,0,0,0.16384,"4"
"CH",2131060,230,1.79,1.79,0,0,0.131072,"3"
"CH",2131060,231,1.79,1.79,0,0,0.104858,"3"
"CH",2131060,233,1.69,1.99,0,0,0.083886,"1"
"CH",2131060,263,1.99,2.09,0,0,0.067109,"4"
"CH",2131060,264,1.99,2.09,0.1,0,0.053687,"4"
"CH",2131060,265,1.99,2.09,0.1,0,0.04295,"4"
"CH",2131060,266,1.99,2.09,0.1,0,0.03436,"4"
"CH",2131060,267,1.99,2.09,0.1,0,0.027488,"4"
"CH",2131060,269,1.99,2.09,0.1,0,0.02199,"4"
"CH",2131060,270,1.86,2.18,0,0,0.017592,"1"
"CH",2131060,271,1.99,2.09,0.1,0.4,0.014074,"4"
"CH",2131060,272,1.99,2.09,0,0.4,0.011259,"4"
"CH",2131060,274,1.99,2.09,0,0.4,0.009007,"4"
"CH",2131060,276,2.09,2.09,0.2,0.4,0.007206,"4"
"CH",2131060,277,2.09,2.09,0.2,0.4,0.005765,"4"
"CH",2131060,278,2.09,2.09,0.2,0,0.004612,"3"
"CH",2131367,269,1.86,2.18,0,0,0.4,"2"
"CH",2131631,229,1.69,1.69,0,0.2,0.04295,"0"
"CH",2131631,230,1.69,1.99,0,0,0.03436,"0"
"CH",2131631,231,1.79,1.79,0,0,0.027488,"4"
"CH",2131631,233,1.79,2.09,0,0,0.02199,"4"
"CH",2131631,239,1.79,2.09,0,0,0.017592,"0"
"CH",2131631,240,1.79,2.23,0,0,0.014074,"4"
"CH",2131631,242,1.86,2.09,0,0,0.011259,"0"
"CH",2131631,243,1.99,2.23,0,0,0.009007,"4"
"CH",2131631,244,1.86,2.09,0,0.2,0.007206,"0"
"CH",2131631,246,1.99,2.23,0,0,0.005765,"4"
"CH",2131631,249,1.99,2.23,0,0,0.004612,"4"
"CH",2131631,250,1.86,2.09,0,0,0.003689,"0"
"CH",2131631,251,1.99,2.23,0,0,0.002951,"4"
"CH",2131631,254,1.99,2.29,0,0,0.002361,"4"
"CH",2131631,255,1.99,2.29,0,0,0.001889,"4"
"CH",2131631,257,1.99,2.29,0,0.4,0.001511,"4"
"CH",2131631,260,1.99,2.09,0,0,0.001209,"4"
"CH",2131631,261,1.99,2.09,0,0,0.000967,"4"
"CH",2131631,262,1.99,2.09,0,0,0.000774,"4"
"CH",2131631,264,1.99,2.09,0.1,0,0.000619,"4"
"CH",2131631,265,1.99,2.09,0.1,0,0.000495,"4"
"CH",2131631,266,1.86,2.13,0.37,0,0.000396,"0"
"CH",2131631,267,1.86,2.13,0,0,0.000317,"0"
"CH",2131631,269,1.86,2.13,0.27,0,0.000254,"0"
"CH",2131631,271,1.99,2.09,0.1,0.4,0.000203,"4"
"CH",2131631,272,1.99,2.09,0,0.4,0.000162,"4"
"CH",2131631,274,1.99,2.09,0,0.4,0.00013,"4"
"CH",2131631,275,1.99,2.13,0,0.54,0.000104,"0"
"CH",2131631,276,2.09,2.09,0.2,0.4,8.3e-05,"4"
"CH",2131631,277,1.99,2.13,0.5,0,6.6e-05,"0"
"CH",2131631,278,2.09,2.09,0.2,0,5.3e-05,"4"
"MM",2132936,229,1.69,1.69,0,0.2,0.32,"0"
"CH",2132936,230,1.69,1.99,0,0,0.456,"0"
"CH",2132936,231,1.69,1.99,0,0,0.3648,"0"
"CH",2132936,233,1.75,1.99,0,0.4,0.29184,"0"
"CH",2132936,237,1.75,1.99,0,0.4,0.233472,"0"
"CH",2132936,241,1.86,2.09,0,0,0.186778,"0"
"CH",2132936,242,1.86,2.09,0,0,0.149422,"0"
"CH",2132936,253,1.86,2.09,0.1,0,0.119538,"0"
"CH",2132936,256,1.86,2.18,0,0,0.09563,"0"
"CH",2132936,258,1.86,2.18,0,0,0.076504,"0"
"CH",2132936,259,1.86,2.18,0,0,0.061203,"0"
"CH",2132936,260,1.86,2.13,0,0.24,0.048963,"0"
"CH",2132936,263,1.86,2.13,0.27,0,0.03917,"0"
"CH",2132936,264,1.86,2.13,0.37,0,0.031336,"0"
"CH",2132936,265,1.86,2.13,0.37,0,0.025069,"0"
"CH",2132936,265,1.86,2.13,0.37,0,0.020055,"0"
"CH",2132936,267,1.86,2.13,0,0,0.016044,"0"
"CH",2132936,270,1.86,2.13,0.27,0,0.012835,"0"
"CH",2132936,272,1.86,2.13,0,0,0.010268,"0"
"CH",2132936,274,1.96,2.18,0,0.8,0.008215,"2"
"MM",2133256,228,1.69,1.69,0,0,0.68,"1"
"CH",2133256,234,1.69,1.99,0,0,0.744,"1"
"MM",2133256,243,1.86,1.99,0,0.8,0.5952,"1"
"CH",2133256,251,1.76,2.09,0,0,0.67616,"1"
"MM",2133256,253,1.76,2.09,0,0,0.540928,"1"
"MM",2133538,242,1.99,2.23,0,0,0.5,"3"
"MM",2133538,244,1.99,2.23,0,0,0.6,"3"
"MM",2133538,247,1.99,2.23,0,0,0.68,"3"
"CH",2133751,274,1.86,2.13,0.47,0.54,0.48,"0"
"MM",2133751,276,1.99,2.13,0,0.54,0.384,"0"
"CH",2134775,228,1.69,1.69,0,0,0.464858,"0"
"CH",2134775,233,1.75,1.99,0,0.4,0.371886,"0"
"MM",2134775,234,1.75,1.99,0,0.4,0.297509,"0"
"CH",2134775,235,1.75,1.99,0,0.4,0.438007,"0"
"CH",2134775,236,1.79,2.09,0,0,0.350406,"3"
"CH",2134775,238,1.79,2.09,0,0,0.280325,"3"
"CH",2134775,240,1.86,2.09,0,0,0.22426,"0"
"CH",2134775,250,1.86,2.09,0,0,0.179408,"0"
"CH",2134775,254,1.86,2.18,0,0,0.143526,"0"
"CH",2134775,257,1.86,2.18,0,0,0.114821,"0"
"CH",2134775,258,1.86,2.18,0,0,0.091857,"0"
"CH",2134775,259,1.86,2.18,0,0,0.073485,"0"
"CH",2134775,260,1.86,2.13,0,0.24,0.058788,"0"
"CH",2134775,261,1.86,2.13,0,0.24,0.047031,"0"
"CH",2134775,262,1.86,2.13,0,0,0.037625,"0"
"CH",2134775,264,1.86,2.13,0.37,0,0.0301,"0"
"CH",2134775,266,1.86,2.13,0.37,0,0.02408,"0"
"CH",2134775,268,1.86,2.13,0,0,0.019264,"0"
"CH",2134775,268,1.86,2.13,0,0,0.015411,"0"
"CH",2134775,269,1.86,2.13,0.27,0,0.012329,"0"
"CH",2134775,270,1.86,2.13,0.27,0,0.009863,"0"
"CH",2134775,271,1.86,2.13,0,0,0.00789,"0"
"CH",2134775,272,1.86,2.13,0,0,0.006312,"0"
"MM",2134775,275,1.99,2.13,0,0.54,0.00505,"0"
"CH",2135111,229,1.69,1.69,0,0.2,0.83616,"0"
"CH",2135111,232,1.69,1.99,0,0.4,0.668928,"0"
"CH",2135343,257,1.86,2.18,0,0,0.5,"2"
"MM",2135343,264,1.99,2.09,0.1,0,0.4,"3"
"MM",2135343,265,1.86,2.18,0,0,0.52,"2"
"MM",2135343,267,1.86,2.18,0,0.4,0.616,"2"
"CH",2135343,270,1.86,2.18,0,0,0.6928,"2"
"CH",2135343,272,1.86,2.18,0,0.06,0.55424,"2"
"CH",2135343,273,1.86,2.18,0,0.06,0.443392,"2"
"CH",2135343,276,1.99,2.18,0,0,0.354714,"2"
"CH",2135343,278,1.99,2.18,0,0,0.283771,"2"
"MM",2136093,259,1.86,2.18,0,0.4,0.3328,"2"
"MM",2136127,229,1.79,1.79,0,0,0.4352,"3"
"MM",2136127,235,1.79,2.09,0,0,0.54816,"3"
"MM",2136325,261,1.86,2.18,0,0,0.46624,"2"
"MM",2136325,273,1.86,2.18,0,0.06,0.572992,"2"
"MM",2136325,276,2.09,2.09,0.2,0.4,0.658394,"3"
"MM",2136325,278,2.09,2.09,0.2,0,0.726715,"3"
"MM",2136838,229,1.79,1.79,0,0,0.972512,"3"
"MM",2136838,234,1.79,2.09,0,0,0.97801,"3"
"MM",2136838,239,1.79,2.23,0,0,0.982408,"3"
"MM",2136838,240,1.79,2.23,0,0,0.985926,"3"
"MM",2136838,240,1.79,2.23,0,0,0.988741,"3"
"MM",2136838,241,1.79,2.23,0,0,0.990993,"3"
"MM",2136838,242,1.99,2.23,0,0,0.992794,"3"
"MM",2136838,243,1.99,2.23,0,0,0.994235,"3"
"MM",2136838,244,1.99,2.23,0,0,0.995388,"3"
"MM",2136838,247,1.99,2.23,0,0,0.996311,"3"
"MM",2136838,248,1.99,2.23,0,0,0.997049,"3"
"MM",2136838,250,1.99,2.23,0,0,0.997639,"3"
"MM",2136838,253,1.99,2.23,0,0,0.998111,"3"
"MM",2136838,259,1.99,2.29,0,0,0.998489,"3"
"MM",2136838,261,1.99,2.09,0,0,0.998791,"3"
"MM",2136838,263,1.99,2.09,0,0,0.999033,"3"
"MM",2136838,264,1.99,2.09,0.1,0,0.999226,"3"
"MM",2136838,266,1.99,2.09,0.1,0,0.999381,"3"
"MM",2136838,267,1.99,2.09,0.1,0,0.999505,"3"
"MM",2136838,270,1.86,2.18,0,0,0.999604,"2"
"MM",2136838,273,1.86,2.18,0,0.06,0.999683,"2"
"MM",2136838,275,1.96,2.18,0,0.8,0.999746,"2"
"MM",2136838,276,2.09,2.09,0.2,0.4,0.999797,"3"
"CH",2137778,228,1.69,1.69,0,0,0.52,"2"
"MM",2137778,229,1.69,1.69,0,0,0.416,"2"
"MM",2137778,231,1.69,1.69,0.3,0,0.5328,"2"
"MM",2137778,233,1.69,1.69,0,0,0.62624,"2"
"CH",2137778,234,1.79,2.09,0,0,0.700992,"3"
"MM",2137778,240,1.75,1.99,0,0.3,0.560794,"2"
"MM",2137778,242,1.75,1.99,0.16,0.3,0.648635,"2"
"CH",2137778,245,1.89,2.09,0,0,0.718908,"2"
"MM",2137778,253,1.99,2.23,0,0,0.575126,"3"
"MM",2137778,256,1.89,2.18,0.13,0,0.660101,"2"
"MM",2137778,262,1.86,2.18,0,0.6,0.728081,"2"
"MM",2137778,263,1.86,2.18,0,0,0.782465,"2"
"CH",2137778,269,1.99,2.09,0.1,0,0.825972,"3"
"CH",2137778,270,1.86,2.18,0,0,0.660777,"2"
"CH",2137778,272,1.86,2.18,0,0.06,0.528622,"2"
"CH",2137778,273,1.86,2.18,0,0.06,0.422898,"2"
"CH",2137778,275,1.96,2.18,0,0.8,0.338318,"2"
"CH",2137778,276,1.99,2.18,0,0,0.270654,"2"
"CH",2137778,276,1.99,2.18,0,0,0.216524,"2"
"CH",2137778,278,1.99,2.18,0,0,0.173219,"2"
"MM",2137786,238,1.79,2.09,0,0,0.2048,"3"
"CH",2137786,241,1.79,2.23,0,0,0.36384,"3"
"CH",2137786,246,1.99,2.23,0,0,0.291072,"3"
"CH",2137828,251,1.99,2.23,0,0,0.5,"3"
"CH",2137828,257,1.99,2.29,0,0.4,0.4,"3"
"CH",2137828,264,1.99,2.09,0.1,0,0.32,"3"
"MM",2138081,271,1.99,2.09,0.1,0.4,0.5,"3"
"CH",2138081,271,1.99,2.09,0.1,0.4,0.6,"3"
"MM",2138685,230,1.69,1.69,0,0.2,0.6,"1"
"CH",2138685,231,1.69,1.69,0.3,0.2,0.68,"1"
"CH",2138685,251,1.76,2.09,0,0,0.544,"1"
"CH",2138685,266,1.86,1.99,0,0.1,0.4352,"1"
"MM",2138685,267,1.99,2.09,0.1,0,0.34816,"4"
"CH",2139246,268,1.86,2.13,0,0,0.6,"0"
"MM",2139469,262,1.76,1.99,0,0.4,0.5,"1"
"MM",2139469,266,1.86,1.99,0,0.1,0.6,"1"
"MM",2139709,229,1.69,1.69,0,0.2,0.850578,"0"
"MM",2139709,236,1.75,1.99,0,0.4,0.880462,"0"
"MM",2139709,237,1.75,1.99,0,0.4,0.90437,"0"
"MM",2139709,238,1.75,1.99,0,0.4,0.923496,"0"
"MM",2139709,242,1.86,2.09,0,0,0.938797,"0"
"MM",2139709,254,1.86,2.18,0,0,0.951037,"0"
"MM",2139709,255,1.86,2.18,0,0,0.96083,"0"
"CH",2140103,233,1.75,1.99,0,0.4,0.256,"0"
"CH",2140103,251,1.86,2.09,0.1,0,0.2048,"0"
"CH",2140103,253,1.86,2.09,0.1,0,0.16384,"0"
"CH",2140103,254,1.76,2.09,0,0,0.131072,"1"
"CH",2140103,260,1.86,2.13,0,0.24,0.104858,"0"
"CH",2140103,261,1.86,2.13,0,0.24,0.083886,"0"
"CH",2140103,263,1.86,2.13,0.27,0,0.067109,"0"
"CH",2140103,264,1.86,2.13,0.37,0,0.053687,"0"
"CH",2140103,267,1.86,2.13,0,0,0.04295,"0"
"CH",2140103,268,1.86,2.13,0,0,0.03436,"0"
"CH",2140103,269,1.86,2.13,0.27,0,0.027488,"0"
"CH",2140103,277,1.99,2.13,0.5,0,0.02199,"0"
"CH",2140103,278,2.06,2.13,0,0,0.017592,"0"
"CH",2140640,230,1.79,1.79,0,0,0.48,"4"
"MM",2140640,273,1.99,2.09,0,0.4,0.384,"4"
"MM",2140681,227,1.79,1.79,0,0,0.5,"4"
"MM",2140681,229,1.79,1.79,0,0,0.6,"4"
"MM",2140681,230,1.79,1.79,0,0,0.68,"4"
"MM",2141697,252,1.99,2.23,0,0,0.5,"4"
"CH",2141697,265,1.99,2.09,0.1,0,0.6,"4"
"CH",2142190,262,1.99,2.09,0,0,0.4,"4"
"MM",2142232,275,1.99,2.13,0,0.54,0.4,"0"
"MM",2142422,259,1.86,2.18,0,0,0.6,"0"
"MM",2142422,261,1.86,2.13,0,0.24,0.68,"0"
"MM",2142695,240,1.79,2.23,0,0,0.5,"4"
"MM",2142695,244,1.86,2.09,0,0,0.6,"1"
"MM",2142976,233,1.75,1.99,0,0.4,0.6,"0"
"MM",2142976,256,1.99,2.29,0,0,0.68,"3"
"MM",2142976,258,1.86,2.18,0,0,0.744,"2"
"CH",2142976,264,1.86,2.13,0.37,0,0.7952,"0"
"CH",2142976,266,1.86,2.18,0,0,0.63616,"2"
"MM",2142976,267,1.86,1.99,0,0.2,0.508928,"1"
"MM",2142976,274,1.96,2.18,0,0.8,0.607142,"2"
"CH",2142976,274,1.86,2.13,0.47,0.54,0.685714,"0"
"MM",2143180,228,1.69,1.69,0,0,0.5,"1"
"MM",2143180,237,1.75,1.99,0,0,0.6,"2"
"CH",2143180,258,1.76,2.18,0,0,0.68,"1"
"MM",2143495,228,1.69,1.69,0,0,0.744,"2"
"MM",2143495,229,1.69,1.69,0,0,0.7952,"2"
"MM",2143495,236,1.75,1.99,0,0,0.83616,"2"
"MM",2143495,242,1.75,1.99,0.16,0.3,0.868928,"2"
"CH",2143495,254,1.89,2.09,0.13,0,0.895142,"2"
"CH",2143495,257,1.86,2.18,0,0,0.716114,"2"
"MM",2143495,260,1.86,2.18,0,0.7,0.572891,"2"
"CH",2143644,227,1.69,1.69,0,0,0.927007,"0"
"MM",2143644,227,1.69,1.69,0,0,0.741605,"2"
"MM",2143644,228,1.69,1.69,0,0,0.793284,"2"
"MM",2143644,229,1.69,1.69,0,0,0.834627,"2"
"MM",2143644,230,1.69,1.99,0,0,0.867702,"0"
"MM",2143644,233,1.69,1.69,0,0,0.894162,"2"
"CH",2143644,235,1.75,1.99,0,0.4,0.915329,"0"
"MM",2143644,236,1.75,1.99,0,0,0.732263,"2"
"MM",2143644,237,1.75,1.99,0,0,0.785811,"2"
"MM",2143644,237,1.75,1.99,0,0,0.828649,"2"
"CH",2143644,239,1.79,2.09,0,0,0.862919,"0"
"MM",2143644,240,1.86,2.09,0,0,0.690335,"0"
"MM",2143644,242,1.75,1.99,0.16,0.3,0.752268,"2"
"CH",2143644,257,1.86,2.18,0,0,0.801814,"0"
"MM",2143644,258,1.86,2.18,0,0,0.641452,"0"
"CH",2143644,264,1.86,2.13,0.37,0,0.713161,"0"
"MM",2143644,271,1.86,2.13,0,0,0.570529,"0"
"MM",2143644,272,1.99,2.09,0,0.4,0.656423,"3"
"MM",2143644,272,1.86,2.18,0,0.06,0.725139,"2"
"MM",2143644,274,1.86,2.13,0.47,0.54,0.780111,"0"
"MM",2143644,274,1.96,2.18,0,0.8,0.824089,"2"
"MM",2143644,275,1.99,2.13,0,0.54,0.859271,"0"
"MM",2143644,276,1.99,2.13,0,0.54,0.887417,"0"
"MM",2143768,227,1.69,1.69,0,0,0.566528,"1"
"MM",2143768,236,1.75,1.99,0,0,0.653222,"1"
"CH",2143768,243,1.86,1.99,0,0.8,0.722578,"1"
"MM",2143768,255,1.86,2.18,0,0,0.578062,"0"
"MM",2143768,261,1.86,2.13,0,0.24,0.66245,"0"
"MM",2144030,230,1.79,1.79,0,0,0.716114,"3"
"MM",2144030,234,1.75,1.99,0,0.4,0.772891,"0"
"MM",2144030,235,1.79,2.09,0,0,0.818313,"3"
"MM",2144030,238,1.79,2.09,0,0,0.85465,"3"
"MM",2144030,241,1.79,2.23,0,0,0.88372,"3"
"MM",2144030,244,1.86,2.09,0,0.2,0.906976,"0"
"MM",2144030,257,1.99,2.29,0,0.4,0.925581,"3"
"MM",2144030,258,1.86,2.18,0,0,0.940465,"2"
"MM",2144030,259,1.99,2.29,0,0,0.952372,"3"
"MM",2144030,260,1.99,2.09,0,0,0.961897,"3"
"MM",2144030,261,1.99,2.09,0,0,0.969518,"3"
"CH",2144865,232,1.69,1.69,0,0,0.5648,"2"
"CH",2144865,235,1.69,1.99,0,0,0.45184,"2"
"CH",2144956,242,1.99,2.23,0,0,0.584,"3"
"CH",2144956,277,2.09,2.09,0.2,0.4,0.4672,"3"
"CH",2146605,262,1.99,2.09,0,0,0.895142,"4"
"CH",2146605,264,1.86,2.13,0.37,0,0.716114,"0"
"MM",2146605,265,1.86,2.13,0.37,0,0.572891,"0"
"MM",2146605,267,1.99,2.09,0.1,0,0.658313,"4"
"MM",2146605,270,1.99,2.09,0.1,0,0.72665,"4"
"MM",2146605,272,1.86,2.13,0,0,0.78132,"0"
"CH",2147157,234,1.75,1.99,0,0.4,0.5,"0"
"MM",2147157,243,1.86,1.99,0,0.8,0.4,"1"
"MM",2147157,257,1.99,2.29,0,0.4,0.52,"4"
"MM",2147157,261,1.76,1.99,0,0,0.616,"1"
